"conclude","verb
UK  /kənˈkluːd/ US  /kənˈkluːd/

to end a speech, meeting, or piece of writing:
- She concluded the speech by reminding us of our responsibility.
- Before I conclude, I'd like to thank you all for coming.

заканчивать, завершать, делать вывод"
"though","conjunction
UK  /ðəʊ/ US  /ðoʊ/

despite the fact that:
- even though She hasn't called, even though she said she would.

несмотря на, хотя"
"pertain to something","phrasal verb with pertain verb
UK  /pɜːˈteɪn/ US  /pɝːˈteɪn/

to be connected with a particular subject, event, or situation:
– We are only interested in the parts of the proposals that pertain to local issues.

– отнься / касаться "
"thereby","UK  /ˌðeəˈbaɪ/ US 

as a result of a particular action or event

таким образом

The new dam will improve the water supply and thereby reduce hunger and disease."
"insight","noun [ C/U ]
US  /ˈɪnˌsɑɪt/

a clear, deep, and sometimes sudden understanding of a complicated problem or situation, or the ability to have such an understanding:
- [ C ] Hurston’s writings were recognized for their insights.
- [ U ] His work shows originality and insight.

проницательность, понимание"
"inequality","noun [ C or U ]
UK  /ˌɪn.ɪˈkwɒl.ə.ti/ US  /ˌɪn.ɪˈkwɑː.lə.t̬i/

the unfair situation in society when some people have more opportunities, money, etc. than other people:
- The law has done little to prevent racial discrimination and inequality.
- sexual inequality

неравенство"
"amendments","noun
UK  /əˈmend.mənt/ US  /əˈmend.mənt/

a change or changes made to the words of a text:
– He insisted that the book did not need amendment.
– I've made a few last-minute amendments to the article.
– Presidential power was reduced by a constitutional amendment in 1991.

– поправка"
"wisdom","noun [ U ]
UK  /ˈwɪz.dəm/ US  /ˈwɪz.dəm/

the ability to use your knowledge and experience to make good decisions and judgments:
- I certainly hope to gain a little wisdom as I grow older.

мудрость"
"justice","noun
UK  /ˈdʒʌs.tɪs/ US  /ˈdʒʌs.tɪs/

fairness in the way people are dealt with:
- There's no justice in the world when people can be made to suffer like that.
- The winner has been disqualified for cheating, so justice has been done (= a fair situation has been achieved).

справедливость, правосудие, судья"
"confines","noun [ plural ]   formal
UK  /ˈkɒn.faɪnz/ US  /ˈkɑːn.faɪnz/

the outer limits of something:
– the narrow confines of a religious life
– within/beyond the confines of the city

– пределы"
"hijacking","noun
UK  /ˈhaɪ.dʒæk.ɪŋ/ US  /ˈhaɪ.dʒæk.ɪŋ/

the crime of using force or threats to take control of an aircraft, ship, car, etc., or an occasion when this happens:
- The attacks included the hijacking of four planes.
- The government adopted new measures to prevent hijackings.

захватывать, угонять самолет"
"overarching","adjective [ before noun ]   formal
UK  /ˌəʊ.vəˈrɑː.tʃɪŋ/ US  /ˌoʊ.vɚˈɑːr.tʃɪŋ/

most important, because of including or affecting all other areas:
- a grand overarching strategy
- The overarching theme of the election campaign was tax cuts.

всеобъемлющий, общий"
"solicit","verb
UK  /səˈlɪs.ɪt/ US  /səˈlɪs.ɪt/

to ask someone for money, information, or help:
– to solicit donations for a charity
– It is illegal for public officials to solicit gifts or money in exchange for favours.

– просить, ходатайствовать"
"consciousness","noun [ U ]
UK  /ˈkɒn.ʃəs.nəs/ US  /ˈkɑːn.ʃəs.nəs/

the state of understanding and realizing something:
[ + that ] 
- Her consciousness that she's different makes her feel uneasy.
- Working in an unemployment office had helped to raise his political consciousness.

сознание"
"hone","verb [ T ]
UK  /həʊn/ US  /hoʊn/

to make an object sharp:
– be honed to: The bone had been honed to a point.  оттачивать, улучшать"
"pertinent","adjective   formal
UK  /ˈpɜː.tɪ.nənt/ US  /ˈpɝː.tən.ənt/

relating directly to the subject being considered:
- a pertinent question/remark
- Chapter One is pertinent to the post-war period.

относящийся к делу, по существу"
"conscientiousness","noun [ U ]
UK  /ˌkɒn.ʃiˈen.ʃəs.nəs/ US  /ˌkɑːn.ʃiˈen.ʃəs.nəs/

the quality of working hard and being careful:
- His conscientiousness and maturity impressed faculty members.
- His colleagues admired him for his conscientiousness and hard work.

добросовестность, сознательность"
"insignificant","adjective
UK  /ˌɪn.sɪɡˈnɪf.ɪ.kənt/ US  /ˌɪn.sɪɡˈnɪf.ə.kənt/

small or not noticeable, and therefore not considered important :
- Why bother arguing about such an insignificant amount of money?
- The difference between the two results was insignificant.

незначительный"
"stipulate","verb [ T ]   formal
UK  /ˈstɪp.jə.leɪt/ US  /ˈstɪp.jə.leɪt/

to say exactly how something must be or must be done:
- She agreed to buy the car, but stipulated racing tyres and a turbo-powered engine.
- [ + that ] The law stipulates that new cars must have seat belts for the driver and every passenger.
- [ + question word ] We have signed a contract which stipulates when the project must be completed.

– предписывать / предусматривать"
"abate","verb [ I ]   formal
UK  /əˈbeɪt/ US  /əˈbeɪt/  to become less strong:
– The storm/wind/rain has started to abate.
– The fighting in the area shows no sign of abating."
"exempt","UK  /ɪɡˈzempt/ US  /ɪɡˈzempt/

to excuse someone or something from a duty, payment, etc. to officially say that someone does not have to do something or pay for something

освобождать (от обязанности, оплаты и т. д.)

- [ often passive ] Students are exempted from payment.:

- be exempted from Small businesses have been exempted from the tax increase."
"might","UK  /maɪt/ US  /maɪt/

modal verb
past simple of the verb may, used especially when reporting what someone has said, thought, asked, etc.:
- I brought him some sandwiches because I thought he might be hungry.

might modal verb (POSSIBILITY)
used to express the possibility that something will happen or be done, or that something is true although not very likely:
- I might come and visit you next year, if I can save enough money.
- Don't go any closer - it might be dangerous/it might not be safe.

может"
"exhaustive","adjective
UK  /ɪɡˈzɔː.stɪv/ US  /ɪɡˈzɑː.stɪv/

complete and including everything:
- an exhaustive study/report

исчерпывающий"
"explicit","adjective
UK  /ɪkˈsplɪs.ɪt/ US  /ɪkˈsplɪs.ɪt/

clear and exact:
- I gave her very explicit directions how to get here.
- explicit about. She was very explicit about (= said very clearly and exactly) what she thought was wrong with the plans
- make something explicit. I wasn't aware that I would be paying - you certainly didn't make it explicit (= state it clearly).

определенный, ясный"
"commensurate ","adjective   formal
UK  /kəˈmen.sjər.ət/ US  /kəˈmen.sjɚ.ət/

in a correct and suitable amount compared to something else:
– a salary that is commensurate with skills and experience

– соразмерный "
"contemplate","UK  /ˈkɒn.təm.pleɪt/ US  /ˈkɑːn.t̬əm.pleɪt/
verb [ I or T ]

to spend time considering a possible future action, or to consider one particular thing for a long time in a serious and quiet way:
[ + -ing verb ] 
- I'm contemplating going abroad for a year.
- They were contemplating a move to California.
- It's too awful/horrific/dangerous to contemplate.

обдумывать, рассматривать"
"emphasize","verb [ T ] ( also UK -ise)
UK  /ˈemfəsaɪz/ US 

to show that something is especially important or needs special attention

- The government is emphasizing the importance of voting in the election.
- [ + that ] He emphasized that the driver was not to blame for the accident.

- придавать значение, подчеркивать"
"subsequent","adjective
UK  /ˈsʌb.sɪ.kwənt/ US  /ˈsʌb.sɪ.kwənt/

happening after something else:
- The book discusses his illness and subsequent resignation from politics.
- Those explosions must have been subsequent to our departure, because we didn't hear anything.

последующий, более поздний"
"ascend","verb   formal
UK  /əˈsend/ US  /əˈsend/

ascend verb (GO UP)

Add to word list 
[ I or T ]
to move up or climb something:
– They slowly ascended the steep path up the mountain.
– There's a long flight of steps ascending (= leading up) to the cathedral doors.

– восходить"
"handful","UK  /ˈhænd.fʊl/ US  /ˈhænd.fʊl/

an amount of something that can be held in one hand:
- He pulled out a handful of coins from his pocket.

a small number of people or things:
- She invited all her friends to her party, but only a handful of them turned up.

a person, often a child, who is difficult to control:
- Her older son is fine but the little one is a bit of a handful.

горстка "
"uninhabitable","adjective
UK  /ˌʌn.ɪnˈhæb.ɪ.tə.bəl/ US  /ˌʌn.ɪnˈhæb.ə.t̬ə.bəl/

not habitable (= suitable to live in):
If there's no roof then the house is uninhabitable.

непригодный для жилья"
"dispatch","verb [ T ] (UK also despatch)
UK  /dɪˈspætʃ/ US  /dɪˈspætʃ/

to send something, especially goods or a message, somewhere for a particular purpose:
- Two loads of cloth were dispatched to the factory on 12 December.

отправлять, посылать"
